突发事件,解释,效果,主题色,示例,备注,提示词参考
降息,央行释放流动性，市场资金变得充裕，投资者风险偏好提升,影响情绪+10，,金,image2image_1779612117.png,,
外盘暴涨,隔夜海外市场大涨，乐观情绪迅速蔓延至本地市场。,影响情绪+20，,金,image2image_1779611936.png,,
黄金时代,牛市预期形成，所有人都相信“这次不一样”。,影响情绪+30，,金,"Gold age_.png",这里是显示效果预览,
超预期财报,公司业绩远超市场预测，资金开始疯狂追捧。,情绪+5，持续上涨3回合,金,image2image_1779612905.png,,
火热预期,市场热度持续升温，任何利好都被放大。,卡牌使得股价上涨效果 +20%,金,image2image_1779613052.png,,
信仰充值,投资者进入“长期看好”状态，即便下跌也坚决稳住信心,情绪不会低于50，低于50会回到50,金,image2image_1779619670.png,,
加息,资金成本上升，市场开始担忧,影响情绪-10，,紫,image2image_1779615043.png,,
外盘暴跌,海外市场恐慌蔓延，开盘人心惶惶,影响情绪-20，,紫,image2image_1779624932.png,,
战争风险,全球避险情绪升温，投资者信心骤降,影响情绪-30，,紫,image2image_1779620175.png,,
财务造假,企业被传财务造假，信誉收到波动,情绪-5，持续下降3回合,紫,image2image_1779621527.png,,
下行预期,市场一致认为未来会更差，抛售情绪开始扩散,卡牌使得股价下降效果 +20%,紫,image2image_1779616252.png,,
黑天鹅,无法预测的重大危机突然出现，市场瞬间失控。,股价立刻 -20%,紫,image2image_1779596118.png,,参考图1的风格为我生成黑天鹅卡牌封面，象征金融市场出现不可预测的暴跌，纯色2d像素保留，但是主题色是紫色，不需要出现文字，k线是暴跌形态，比例沿用原图
信仰崩塌,市场反响一直不好，投资者信心不足,情绪不会高于50，高于50会回到50,紫,image2image_1779616252.png,,
猴市,市场像猴子一样上蹿下跳，波动率增大,买卖卖出造成的价格影响*1.5,蓝,image2image_1779616518.png,,
神秘资金,一股看不见的资金突然进场，市场波动骤然放大。,每个回合有30%概率股价涨5%或者跌5%,蓝,image2image_1779616754.png,,
偃旗息鼓,多空双方暂时休战，价格逐渐回归理性,价格会向着当天平均价靠近（5回合回到当天平均价）,蓝,image2image_1779617004.png,,
限制涨停,监管层担忧市场过热，限制单日上涨空间。,单回合最大涨幅+5%,蓝,image2image_1779617263.png,,
限制跌停,为防止恐慌扩散，监管层限制单日下跌幅度。,单回合最大涨幅-5%,蓝,image2image_1779617700.png,,
账户审查,监管机构开始调查异常交易，部分操作受到限制。,每回合随机冻结一张卡牌,蓝,image2image_1779619348.png,,
重点监控,高频交易与投机行为被重点盯防。,每回合最多使用两张技能牌,蓝,image2image_1779617998.png,,
混乱之日,市场系统陷入紊乱，交易节奏彻底失控。,每回合50%概率行动点-1，50%概率行动点+1,灰,image2image_1779618374.png,,
鬼故事,各种真假难辨的传闻开始流传，市场情绪忽冷忽热。,情绪每回合随机波动,灰,image2image_1779618545.png,,
风险警示,监管部门发出风险提示，投资者开始趋于谨慎,情绪对价格的影响减半,灰,image2image_1779618668.png,,
市场失真,情绪与价格彻底脱钩，市场进入非理性状态,价格与情绪暂时脱钩，价格不受到市场情绪影响,灰,image2image_1779618983.png,,
,,,,,,
,,,,,,
